	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
153	0.666	0.333	0.118	0.548	11.509024185963945	15	19602.264883796346
154	0.6666666666666666	0.398	0.107	0.495	10.416452386346077	15	18861.881024328883
155	0.666	0.451	0.097	0.451	9.483577377379884	15	18216.49104049505
156	0.6666666666666666	0.496	0.089	0.415	8.848637000298119	15	17788.136526937506
157	0.6666666666666666	0.534	0.083	0.383	8.109067530871283	15	17281.630049642714
158	0.6666666666666666	0.566	0.077	0.357	7.547807398727116	15	16897.241693808242
159	0.6666666666666666	0.595	0.072	0.333	7.064943054673492	15	16566.54400004405
160	0.6673333333333332	0.014	0.151	0.836	17.548410825342046	15	23758.3399488765
161	0.6673333333333332	0.133	0.133	0.735	15.442510085687054	15	22314.636467758224
162	0.6666666666666666	0.226	0.118	0.656	13.793513574148442	15	21174.71766314846
163	0.6666666666666666	0.301	0.107	0.592	12.486594603793357	15	20279.652424317945
164	0.6666666666666666	0.363	0.097	0.54	11.377488401396647	15	19520.06255650318
165	0.6666666666666666	0.415	0.089	0.496	10.452614966967342	15	18886.647570377034
166	0.6673333333333334	0.459	0.083	0.459	9.715717709395765	15	18388.62517311009
167	0.6673333333333332	0.497	0.077	0.427	9.042887545068137	15	17927.36542228236
168	0.6666666666666666	0.529	0.072	0.399	8.47239176515333	15	17530.458706894675
169	0.666	0.558	0.067	0.374	7.92915873761784	15	17152.986097589102
170	0.6666666666666666	0.012	0.133	0.855	17.930666858216604	15	24008.116042297275
171	0.666	0.118	0.118	0.763	16.06418458396383	15	22718.822724188623
172	0.6666666666666666	0.204	0.107	0.689	14.451321533604052	15	21625.228407647628
173	0.666	0.274	0.097	0.628	13.255322964221023	15	20797.050725242076
174	0.6659999999999999	0.333	0.089	0.577	12.194390645837377	15	20071.180141972178
175	0.6666666666666666	0.383	0.083	0.534	11.230952730178373	15	19419.70515980816
176	0.6673333333333332	0.427	0.077	0.497	10.530379496122176	15	18947.11781014845
177	0.6666666666666666	0.464	0.072	0.464	9.769861458269908	15	18419.05245072045
178	0.6666666666666666	0.497	0.067	0.436	9.237323966908626	15	18054.33527413682
179	0.6666666666666666	0.526	0.064	0.41	8.683529717061077	15	17675.060052224562
180	0.6666666666666666	0.011	0.118	0.871	18.27404815702819	15	24243.28644781004
181	0.6666666666666666	0.107	0.107	0.786	16.50320614426321	15	23030.495781334397
182	0.6666666666666666	0.186	0.097	0.717	15.049071437302104	15	22034.607391693633
183	0.6666666666666666	0.252	0.089	0.659	13.824674480841246	15	21196.058729445474
184	0.6666666666666666	0.308	0.083	0.609	12.833470933117123	15	20517.21645972748
185	0.6666666666666666	0.357	0.077	0.566	11.930316949414376	15	19898.676401422257
186	0.6666666666666666	0.399	0.072	0.529	11.165477058905903	15	19374.86305507602
187	0.6666666666666666	0.436	0.067	0.497	10.532732578073684	15	18941.51745163673
188	0.6666666666666666	0.468	0.064	0.468	9.924098071070123	15	18524.68396560689
189	0.6666666666666666	0.497	0.06	0.443	9.356756445468797	15	18136.130597620064
190	0.6666666666666666	0.01	0.107	0.883	18.54709568082137	15	24430.28759527186
191	0.666	0.097	0.097	0.805	16.917168096907233	15	23302.418519444567
192	0.6666666666666666	0.171	0.089	0.74	15.543683511949666	15	22373.350714550594
193	0.6666666666666666	0.233	0.083	0.684	14.357129406378874	15	21560.719359448678
194	0.6666666666666666	0.287	0.077	0.636	13.41676007832438	15	20916.691752308423
195	0.6666666666666666	0.333	0.072	0.595	12.557359625542599	15	20328.11702887994
196	0.666	0.374	0.067	0.558	11.763067899831523	15	19776.07696922895
197	0.6666666666666666	0.41	0.064	0.526	11.081321278665865	15	19317.227566382295
198	0.6666666666666666	0.443	0.06	0.497	10.514421156987535	15	18928.97656971553
199	0.6673333333333332	0.472	0.057	0.472	9.988445852195479	15	18575.594369589584
200	0.666	0.043	0.913	0.043	0.4247844182106447	15	12018.629767863311
201	0.666	0.333	0.636	0.03	0.367391194801411	15	11979.36236896338
202	0.666	0.488	0.488	0.023	0.33743877625379987	15	11958.869469327123
203	0.6666666666666666	0.585	0.396	0.019	0.31927221183854515	15	11946.658895481158
204	0.6666666666666666	0.651	0.333	0.016	0.306758568866284	15	11938.08871853089
205	0.6673333333333332	0.699	0.288	0.014	0.29773561229069456	15	11932.113105533825
206	0.6666666666666666	0.735	0.253	0.012	0.2909227662626983	15	11927.24330518778
207	0.6666666666666666	0.763	0.226	0.011	0.285669023982438	15	11923.645192224772
208	0.6666666666666666	0.786	0.204	0.01	0.2813763104721596	15	11920.705255832034
209	0.6666666666666666	0.805	0.186	0.009	0.2779043492716375	15	11918.327425337835
210	0.666	0.03	0.636	0.333	6.867303231779644	15	16426.483886264814
211	0.6666666666666666	0.256	0.488	0.256	5.283352102937389	15	15346.391743565053
212	0.6666666666666666	0.396	0.396	0.208	4.310639080921645	15	14680.21301855387
213	0.6666666666666666	0.492	0.333	0.175	3.6611087439551557	15	14235.371341776754
214	0.6673333333333334	0.562	0.288	0.151	3.1840666318076503	15	13910.841761671238
215	0.6666666666666666	0.614	0.253	0.133	2.8238594158329082	15	13661.967185256764
216	0.6666666666666666	0.656	0.226	0.118	2.5460984020696786	15	13471.737925630787
217	0.6666666666666666	0.689	0.204	0.107	2.319138359501687	15	13316.300557810722
218	0.6666666666666666	0.717	0.186	0.097	2.132895132076409	15	13188.74877945473
219	0.6666666666666666	0.74	0.171	0.089	1.9794998967825572	15	13083.69349597648
220	0.666	0.023	0.488	0.488	10.23046994095407	15	18727.50133904785
221	0.6666666666666666	0.208	0.396	0.396	8.303023959681465	15	17414.46434252051
222	0.666	0.333	0.333	0.333	6.999134255236303	15	16516.68027318923
223	0.6673333333333332	0.425	0.288	0.288	6.070813467714906	15	15889.855481372604
224	0.6666666666666666	0.494	0.253	0.253	5.357106980834464	15	15396.90400094083
225	0.6666666666666666	0.548	0.226	0.226	4.806775632467128	15	15020.00040482232
226	0.6666666666666666	0.592	0.204	0.204	4.357128404346236	15	14712.05200652326
227	0.6666666666666666	0.628	0.186	0.186	3.98810067311992	15	14459.31721433073
228	0.6673333333333334	0.659	0.171	0.171	3.679823629734358	15	14250.708731760622
229	0.6666666666666666	0.684	0.158	0.158	3.42215961770113	15	14071.723050176246
230	0.6666666666666666	0.019	0.396	0.585	12.296197908187924	15	20149.2560740543
231	0.6666666666666666	0.175	0.333	0.492	10.346220538089408	15	18813.7815725195
232	0.6673333333333332	0.288	0.288	0.425	8.939307947051994	15	17856.356270040345
233	0.666	0.373	0.253	0.373	7.890685236332757	15	17126.66322822757
234	0.6666666666666666	0.441	0.226	0.333	7.056244134014193	15	16560.586399248517
235	0.6666666666666666	0.495	0.204	0.301	6.385991989737427	15	16101.553047371504
236	0.6666666666666666	0.54	0.186	0.274	5.843495028461472	15	15730.014961825647
237	0.6666666666666666	0.577	0.171	0.252	5.3890090697421265	15	15418.752678230725
